Czas[s],Temperatura[degC],Moc[W], Poziom Mocy[%]
624,25.0031,0,0
625,24.9606,8000,100
626,24.9827,8000,100
627,25.0048,0,0
628,24.9623,8000,100
629,24.9844,8000,100
630,25.0065,0,0
631,24.964,8000,100
632,24.9861,8000,100
633,25.0082,0,0
634,24.9657,8000,100
635,24.9878,8000,100
636,25.0099,0,0
637,24.9674,8000,100
638,24.9895,8000,100
639,25.0116,0,0
640,24.969,8000,100
641,24.9912,8000,100
642,25.0133,0,0
643,24.9707,8000,100
644,24.9929,8000,100
645,25.015,0,0
646,24.9724,8000,100
647,24.9945,8000,100
648,25.0167,0,0
649,24.9741,8000,100
650,24.9962,8000,100
651,25.0183,0,0
652,24.9757,8000,100
653,24.9979,8000,100
654,25.02,0,0
655,24.9774,8000,100
656,24.9995,8000,100
657,25.0217,0,0
658,24.9791,8000,100
659,25.0012,0,0
660,24.9586,8000,100
661,24.9808,8000,100
662,25.0029,0,0
663,24.9603,8000,100
664,24.9825,8000,100
665,25.0046,0,0
666,24.962,8000,100
667,24.9842,8000,100
668,25.0063,0,0
669,24.9637,8000,100
670,24.9859,8000,100
671,25.008,0,0
672,24.9654,8000,100
673,24.9876,8000,100
674,25.0097,0,0
675,24.9671,8000,100
676,24.9893,8000,100
677,25.0114,0,0
678,24.9688,8000,100
679,24.991,8000,100
680,25.0131,0,0
681,24.9705,8000,100
682,24.9927,8000,100
683,25.0148,0,0
684,24.9722,8000,100
685,24.9943,8000,100
686,25.0165,0,0
687,24.9739,8000,100
688,24.996,8000,100
689,25.0181,0,0
690,24.9755,8000,100
691,24.9977,8000,100
692,25.0198,0,0
693,24.9772,8000,100
694,24.9993,8000,100
695,25.0215,0,0
696,24.9789,8000,100
697,25.001,0,0
698,24.9584,8000,100
699,24.9806,8000,100
700,25.0027,0,0
701,24.9601,8000,100
702,24.9823,8000,100
703,25.0044,0,0
704,24.9618,8000,100
705,24.984,8000,100
706,25.0061,0,0
707,24.9635,8000,100
708,24.9857,8000,100
709,25.0078,0,0
710,24.9652,8000,100
711,24.9874,8000,100
712,25.0095,0,0
713,24.9669,8000,100
714,24.9891,8000,100
715,25.0112,0,0
716,24.9686,8000,100
717,24.9908,8000,100
718,25.0129,0,0
719,24.9703,8000,100
720,24.9925,8000,100
721,25.0146,0,0
722,24.972,8000,100
723,24.9941,8000,100
724,25.0163,0,0
725,24.9737,8000,100
726,24.9958,8000,100
727,25.0179,0,0
728,24.9753,8000,100
729,24.9975,8000,100
730,25.0196,0,0
731,24.977,8000,100
732,24.9991,8000,100
733,25.0213,0,0
734,24.9787,8000,100
735,25.0008,0,0
736,24.9582,8000,100
737,24.9804,8000,100
738,25.0025,0,0
739,24.9599,8000,100
740,24.9821,8000,100
741,25.0042,0,0
742,24.9616,8000,100
743,24.9838,8000,100
744,25.0059,0,0
745,24.9633,8000,100
746,24.9855,8000,100
747,25.0076,0,0
748,24.965,8000,100
749,24.9872,8000,100
750,25.0093,0,0
751,24.9667,8000,100
752,24.9889,8000,100
753,25.011,0,0
754,24.9684,8000,100
755,24.9906,8000,100
756,25.0127,0,0
757,24.9701,8000,100
758,24.9923,8000,100
759,25.0144,0,0
760,24.9718,8000,100
761,24.9939,8000,100
762,25.0161,0,0
763,24.9735,8000,100
764,24.9956,8000,100
765,25.0177,0,0
766,24.9751,8000,100
767,24.9973,8000,100
768,25.0194,0,0
769,24.9768,8000,100
770,24.9989,8000,100
771,25.0211,0,0
772,24.9785,8000,100
773,25.0006,0,0
774,24.958,8000,100
775,24.9802,8000,100
776,25.0023,0,0
777,24.9597,8000,100
778,24.9819,8000,100
779,25.004,0,0
780,24.9614,8000,100
781,24.9836,8000,100
782,25.0057,0,0
783,24.9631,8000,100
784,24.9853,8000,100
785,25.0074,0,0
786,24.9648,8000,100
787,24.987,8000,100
788,25.0091,0,0
789,24.9665,8000,100
790,24.9887,8000,100
791,25.0108,0,0
792,24.9682,8000,100
793,24.9904,8000,100
794,25.0125,0,0
795,24.9699,8000,100
796,24.9921,8000,100
797,25.0142,0,0
798,24.9716,8000,100
799,24.9937,8000,100
800,25.0159,0,0
801,24.9733,8000,100
802,24.9954,8000,100
803,25.0175,0,0
804,24.9749,8000,100
805,24.9971,8000,100
806,25.0192,0,0
807,24.9766,8000,100
808,24.9988,8000,100
809,25.0209,0,0
810,24.9783,8000,100
811,25.0004,0,0
812,24.9578,8000,100
813,24.98,8000,100
814,25.0021,0,0
815,24.9595,8000,100
816,24.9817,8000,100
817,25.0038,0,0
818,24.9613,8000,100
819,24.9834,8000,100
820,25.0055,0,0
821,24.963,8000,100
822,24.9851,8000,100
823,25.0072,0,0
824,24.9647,8000,100
825,24.9868,8000,100
826,25.0089,0,0
827,24.9664,8000,100
828,24.9885,8000,100
829,25.0106,0,0
830,24.968,8000,100
831,24.9902,8000,100
832,25.0123,0,0
833,24.9697,8000,100
834,24.9919,8000,100
835,25.014,0,0
836,24.9714,8000,100
837,24.9936,8000,100
838,25.0157,0,0
839,24.9731,8000,100
840,24.9952,8000,100
841,25.0174,0,0
842,24.9748,8000,100
843,24.9969,8000,100
844,25.019,0,0
845,24.9764,8000,100
846,24.9986,8000,100
847,25.0207,0,0
848,24.9781,8000,100
849,25.0002,0,0
850,24.9576,8000,100
851,24.9798,8000,100
852,25.0019,0,0
853,24.9594,8000,100
854,24.9815,8000,100
855,25.0037,0,0
856,24.9611,8000,100
857,24.9832,8000,100
858,25.0054,0,0
859,24.9628,8000,100
860,24.9849,8000,100
861,25.0071,0,0
862,24.9645,8000,100
863,24.9866,8000,100
864,25.0088,0,0
865,24.9662,8000,100
866,24.9883,8000,100
867,25.0105,0,0
868,24.9679,8000,100
869,24.99,8000,100
870,25.0121,0,0
871,24.9696,8000,100
872,24.9917,8000,100
873,25.0138,0,0
874,24.9712,8000,100
875,24.9934,8000,100
876,25.0155,0,0
877,24.9729,8000,100
878,24.9951,8000,100
879,25.0172,0,0
880,24.9746,8000,100
881,24.9967,8000,100
882,25.0188,0,0
883,24.9763,8000,100
884,24.9984,8000,100
885,25.0205,0,0
886,24.9779,8000,100
887,25.0001,0,0
888,24.9575,8000,100
889,24.9796,8000,100
890,25.0018,0,0
891,24.9592,8000,100
892,24.9813,8000,100
893,25.0035,0,0
894,24.9609,8000,100
895,24.9831,8000,100
896,25.0052,0,0
897,24.9626,8000,100
898,24.9848,8000,100
899,25.0069,0,0
900,24.9643,8000,100
901,24.9865,8000,100
902,25.0086,0,0
903,24.966,8000,100
904,24.9882,8000,100
905,25.0103,0,0
906,24.9677,8000,100
907,24.9898,8000,100
908,25.012,0,0
909,24.9694,8000,100
910,24.9915,8000,100
911,25.0137,0,0
912,24.9711,8000,100
913,24.9932,8000,100
914,25.0153,0,0
915,24.9727,8000,100
916,24.9949,8000,100
917,25.017,0,0
918,24.9744,8000,100
919,24.9966,8000,100
920,25.0187,0,0
921,24.9761,8000,100
922,24.9982,8000,100
923,25.0203,0,0
924,24.9777,8000,100
925,24.9999,8000,100
926,25.022,0,0
927,24.9794,8000,100
928,25.0015,0,0
929,24.959,8000,100
930,24.9811,8000,100
931,25.0033,0,0
932,24.9607,8000,100
933,24.9828,8000,100
934,25.005,0,0
935,24.9624,8000,100
936,24.9845,8000,100
937,25.0067,0,0
938,24.9641,8000,100
939,24.9862,8000,100
940,25.0084,0,0
941,24.9658,8000,100
942,24.9879,8000,100
943,25.0101,0,0
944,24.9675,8000,100
945,24.9896,8000,100
946,25.0117,0,0
947,24.9692,8000,100
948,24.9913,8000,100
949,25.0134,0,0
950,24.9708,8000,100
951,24.993,8000,100
952,25.0151,0,0
953,24.9725,8000,100
954,24.9947,8000,100
955,25.0168,0,0
956,24.9742,8000,100
957,24.9963,8000,100
958,25.0185,0,0
959,24.9759,8000,100
960,24.998,8000,100
961,25.0201,0,0
962,24.9775,8000,100
963,24.9997,8000,100
964,25.0218,0,0
965,24.9792,8000,100
966,25.0013,0,0
967,24.9587,8000,100
968,24.9809,8000,100
969,25.003,0,0
970,24.9605,8000,100
971,24.9826,8000,100
972,25.0047,0,0
973,24.9622,8000,100
974,24.9843,8000,100
975,25.0064,0,0
976,24.9639,8000,100
977,24.986,8000,100
978,25.0081,0,0
979,24.9656,8000,100
980,24.9877,8000,100
981,25.0098,0,0
982,24.9673,8000,100
983,24.9894,8000,100
984,25.0115,0,0
985,24.9689,8000,100
986,24.9911,8000,100
987,25.0132,0,0
988,24.9706,8000,100
989,24.9928,8000,100
990,25.0149,0,0
991,24.9723,8000,100
992,24.9944,8000,100
993,25.0166,0,0
994,24.974,8000,100
995,24.9961,8000,100
996,25.0182,0,0
997,24.9756,8000,100
998,24.9978,8000,100
999,25.0199,0,0
1000,24.9773,8000,100
